year,Average Temperature (C),Average Temperature (F)
1875,20.75,69.75
1876,20.67,69.33
1877,20.75,69.92
1878,20.83,69.92
1879,20.83,70.0
1880,21.33,70.92
1881,21.08,70.58
1882,21.25,70.92
1883,21.5,71.0
1884,20.92,70.33
1885,20.08,68.5
1886,20.0,68.5
1887,20.67,69.67
1888,21.0,69.92
1889,20.58,69.33
1890,21.25,70.75
1891,20.58,69.5
1892,20.33,69.17
1893,21.08,70.08
1894,20.92,70.08
1895,20.17,68.75
1896,21.0,69.92
1897,21.33,70.67
1898,20.83,70.08
1899,20.92,70.17
1900,20.83,69.92
1901,19.75,67.92
1902,20.92,69.92
1903,20.42,69.08
1904,20.58,69.42
1905,20.75,69.92
1906,20.67,69.75
1907,21.25,70.58
1908,21.17,70.5
1909,21.0,70.42
1910,20.0,68.67
1911,21.75,71.67
1912,21.17,70.5
1913,21.08,70.42
1914,20.83,69.58
1915,20.75,69.75
1916,21.0,70.33
1917,20.42,69.25
1918,21.25,70.42
1919,21.33,70.75
1920,20.42,69.25
1921,21.67,71.25
1922,21.75,71.33
1923,21.17,70.33
1924,20.75,69.83
1925,21.42,70.83
1926,20.75,69.67
1927,21.75,71.5
1928,20.83,69.58
1929,21.5,71.17
1930,20.67,69.75
1931,21.08,70.33
1932,21.75,71.5
1933,21.67,71.5
1934,21.08,70.5
1935,21.0,70.25
1936,21.25,70.58
1937,21.17,70.42
1938,21.08,70.58
1939,21.42,71.0
1940,20.17,68.75
1941,21.17,70.42
1942,20.83,69.92
1943,20.92,69.83
1944,21.17,70.58
1945,21.33,71.25
1946,22.0,71.75
1947,21.42,70.67
1948,22.0,71.92
1949,22.0,71.92
1950,21.17,70.58
1951,21.33,70.83
1952,21.25,70.75
1953,21.58,71.17
1954,21.17,70.67
1955,21.25,70.67
1956,21.17,70.42
1957,21.58,71.42
1958,20.75,69.33
1959,21.5,70.92
1960,20.75,69.75
1961,21.25,70.5
1962,21.0,70.08
1963,20.75,69.75
1964,21.42,70.5
1965,21.25,70.75
1966,20.75,69.5
1967,21.33,70.83
1968,20.58,69.17
1969,20.67,69.58
1970,20.83,69.83
1971,21.58,71.0
1972,21.67,71.5
1973,21.25,70.75
1974,21.42,71.25
1975,21.83,71.67
1976,20.67,69.58
1977,20.83,69.92
1978,21.0,70.25
1979,21.0,70.5
1980,21.17,70.42
1981,20.83,69.75
1982,21.92,72.0
1983,20.75,69.83
1984,21.08,70.33
1985,21.67,71.17
1986,22.08,71.92
1987,21.25,70.5
1988,20.92,70.0
1989,21.5,71.42
1990,22.33,72.67
1991,22.0,72.08
1992,21.25,70.42
1993,21.5,70.58
1994,22.08,71.75
1995,21.42,71.08
1996,21.17,70.25
1997,21.58,71.67
1998,22.5,72.92
1999,21.75,71.58
2000,21.5,71.0
2001,21.58,71.42
2002,21.83,72.0
2003,21.67,71.33
2004,21.67,71.33
2005,21.42,71.17
2006,21.92,71.75
2007,22.17,72.17
2008,21.58,71.33
2009,21.58,71.67
2010,20.83,69.75
2011,22.25,72.17
2012,22.17,72.25
