Year,InterestRate,Unemployment Rate ,HomeOwnRate,Population,MediumIncome
2019,0.043,0.031,0.66,21477737,58368
2018,0.045,0.036,0.655,21244317,55634
2017,0.04,0.042,0.641,20963613,55365
2016,0.037,0.048,0.643,20613477,54521
2015,0.039,0.055,0.648,20209042,52687
2014,0.042,0.063,0.649,19845911,49876
2013,0.04,0.072,0.661,19545621,53350
2012,0.037,0.085,0.67,19297822,51395
2011,0.045,0.1,0.69,19053237,51383
2010,0.047,0.111,0.693,18845537,51782
2009,0.05,0.104,0.709,18652644,54505
2008,0.06,0.063,0.711,18527305,53394
2007,0.063,0.04,0.718,18367842,56604
2006,0.064,0.032,0.724,18166990,58059
2005,0.059,0.037,0.724,17842038,56416
2004,0.058,0.046,0.722,17415318,54996
2003,0.058,0.052,0.695,17004085,54304
2002,0.065,0.056,0.687,16689370,54186
2001,0.07,0.047,0.692,16356966,52720
2000,0.081,0.037,0.684,16047515,57846
1999,0.074,0.039,0.676,15111244,55153
1998,0.069,0.043,0.669,14908230,54878
1997,0.076,0.048,0.669,14683350,51711
1996,0.078,0.052,0.671,14426911,49876
1995,0.079,0.055,0.666,14185403,49707
1994,0.084,0.064,0.657,13961798,50133
1993,0.073,0.071,0.655,13713593,49880
1992,0.084,0.082,0.66,13504775,48986
1991,0.093,0.075,0.661,13289497,50026
