State,Year,Total_Disaster,InterestRate,Unemployment Rate ,HomeOwnRate,Population,MediumIncome,HPI,Total (C),Total (F),Average Temperature (F),Average Temperature (C)
CA,1996,11.0,0.078,0.073,0.55,31780829,63176,330.6185454545456,180.0,713.0,59.42,15.0
CA,1997,20.0,0.076,0.064,0.557,32217708,63245,338.655090909091,175.0,707.0,58.92,14.58
CA,1998,15.0,0.069,0.059000000000000004,0.56,32682794,64349,355.7555357142857,162.0,680.0,56.67,13.5
CA,1999,85.0,0.07400000000000001,0.052000000000000005,0.557,33145121,67156,376.6225,171.0,693.0,57.75,14.25
CA,2000,32.0,0.081,0.049,0.5710000000000001,33987977,69696,439.17218181818197,173.0,703.0,58.58,14.42
CA,2001,81.0,0.07,0.054000000000000006,0.5820000000000001,34479458,68413,486.22571428571416,175.0,705.0,58.75,14.58
CA,2002,124.0,0.065,0.067,0.5770000000000001,34871843,67600,525.1305263157894,174.0,703.0,58.58,14.5
CA,2003,130.0,0.057999999999999996,0.068,0.589,35253159,68695,564.3736206896551,178.0,712.0,59.33,14.83
CA,2004,63.0,0.057999999999999996,0.062,0.597,35574576,66782,666.211724137931,175.0,703.0,58.58,14.58
CA,2005,35.0,0.059000000000000004,0.054000000000000006,0.597,35827943,67918,824.6129310344826,174.0,699.0,58.25,14.5
CA,2006,75.0,0.064,0.049,0.602,36021202,70316,896.7732758620691,173.0,702.0,58.5,14.42
CA,2007,66.0,0.063,0.054000000000000006,0.583,36250311,68890,857.0606896551725,174.0,704.0,58.67,14.5
CA,2008,67.0,0.06,0.073,0.575,36604337,67865,711.3617241379312,174.0,705.0,58.75,14.5
CA,2009,40.0,0.05,0.11199999999999999,0.57,36961229,67051,604.2224137931036,174.0,700.0,58.33,14.5
CA,2010,24.0,0.047,0.122,0.561,37319502,63788,566.8896551724138,166.0,690.0,57.5,13.83
CA,2011,21.0,0.045,0.11699999999999999,0.5529999999999999,37638369,60795,527.9263793103448,167.0,687.0,57.25,13.92
CA,2012,22.0,0.037000000000000005,0.10400000000000001,0.545,37948800,63609,523.8670689655171,177.0,708.0,59.0,14.75
CA,2013,42.0,0.04,0.08900000000000001,0.5429999999999999,38260787,66829,579.9724137931033,,,,
CA,2014,58.0,0.042,0.075,0.542,38596972,65384,662.4520689655171,,,,
CA,2015,34.0,0.039,0.062,0.5429999999999999,38918045,68670,704.4074137931033,,,,
CA,2016,41.0,0.037000000000000005,0.055,0.5379999999999999,39167117,70993,773.6947368421054,,,,
CA,2017,59.0,0.04,0.048,0.544,39358497,73045,818.6363793103448,,,,
CA,2018,40.0,0.045,0.043,0.551,39461588,71766,877.9148275862069,,,,
CA,2019,56.0,0.043,0.04,0.5479999999999999,39512223,78105,921.3373684210528,,,,
FL,1996,34.0,0.078,0.052000000000000005,0.6709999999999999,14426911,49876,186.62019230769224,254.0,843.0,70.25,21.17
FL,1998,113.0,0.069,0.043,0.669,14908230,54878,193.85821428571424,270.0,875.0,72.92,22.5
FL,1999,59.0,0.07400000000000001,0.039,0.6759999999999999,15111244,55153,201.1046428571428,261.0,859.0,71.58,21.75
FL,2000,52.0,0.081,0.037000000000000005,0.684,16047515,57846,213.66482142857143,258.0,852.0,71.0,21.5
FL,2001,51.0,0.07,0.047,0.6920000000000001,16356966,52720,225.2018644067795,259.0,857.0,71.42,21.58
FL,2002,35.0,0.065,0.055999999999999994,0.687,16689370,54186,239.98549999999997,262.0,864.0,72.0,21.83
FL,2004,156.0,0.057999999999999996,0.046,0.722,17415318,54996,289.7743548387097,260.0,856.0,71.33,21.67
FL,2005,134.0,0.059000000000000004,0.037000000000000005,0.7240000000000001,17842038,56416,362.0633870967742,257.0,854.0,71.17,21.42
FL,2006,56.0,0.064,0.032,0.7240000000000001,18166990,58059,412.04238095238094,263.0,861.0,71.75,21.92
FL,2007,16.0,0.063,0.04,0.718,18367842,56604,397.8698437500001,266.0,866.0,72.17,22.17
FL,2008,80.0,0.06,0.063,0.711,18527305,53394,344.69187500000015,259.0,856.0,71.33,21.58
FL,2009,11.0,0.05,0.10400000000000001,0.7090000000000001,18652644,54505,289.92421875,259.0,860.0,71.67,21.58
FL,2010,1.0,0.047,0.111,0.693,18845537,51782,259.85078124999995,250.0,837.0,69.75,20.83
FL,2011,4.0,0.045,0.1,0.69,19053237,51383,242.69984374999993,267.0,866.0,72.17,22.25
FL,2012,59.0,0.037000000000000005,0.085,0.67,19297822,51395,236.14828125,266.0,867.0,72.25,22.17
FL,2013,8.0,0.04,0.07200000000000001,0.6609999999999999,19545621,53350,248.30578125000005,,,,
FL,2016,115.0,0.037000000000000005,0.048,0.643,20613477,54521,313.4331249999999,,,,
FL,2017,89.0,0.04,0.042,0.6409999999999999,20963613,55365,338.0621875,,,,
FL,2018,36.0,0.045,0.036000000000000004,0.655,21244317,55634,369.05587301587303,,,,
FL,2019,34.0,0.043,0.031,0.66,21477737,58368,392.153492063492,,,,
IL,1991,36.0,0.09300000000000001,0.073,0.63,11535973,31884,146.8827868852459,144.0,645.0,53.75,12.0
IL,1992,23.0,0.084,0.079,0.624,11635197,31551,144.08957142857142,133.0,625.0,52.08,11.08
IL,1993,12.0,0.073,0.07400000000000001,0.618,11725984,32857,141.66817073170733,126.0,611.0,50.92,10.5
IL,1994,17.0,0.084,0.057999999999999996,0.642,11804986,35081,149.73499999999993,133.0,625.0,52.08,11.08
IL,1995,58.0,0.079,0.052000000000000005,0.664,11884935,38071,159.2701219512195,131.0,620.0,51.67,10.92
IL,1996,71.0,0.078,0.053,0.682,11953003,39554,164.5563855421687,122.0,603.0,50.25,10.17
IL,1997,35.0,0.076,0.048,0.6809999999999999,12011509,41283,170.08662650602412,126.0,616.0,51.33,10.5
IL,1998,105.0,0.069,0.044000000000000004,0.68,12069774,43178,170.31886363636363,153.0,664.0,55.33,12.75
IL,1999,76.0,0.07400000000000001,0.044000000000000004,0.6709999999999999,12128370,46330,175.56931818181818,143.0,645.0,53.75,11.92
IL,2000,58.0,0.081,0.043,0.679,12434161,46064,182.08011363636368,136.0,628.0,52.33,11.33
IL,2001,20.0,0.07,0.053,0.6940000000000001,12488445,46171,185.6408695652175,143.0,642.0,53.5,11.92
IL,2002,40.0,0.065,0.065,0.701,12525556,42710,187.80800000000002,141.0,639.0,53.25,11.75
IL,2003,136.0,0.057999999999999996,0.068,0.7070000000000001,12556006,45153,191.5351578947368,133.0,620.0,51.67,11.08
IL,2004,87.0,0.057999999999999996,0.062,0.727,12589773,46077,200.56631578947375,138.0,632.0,52.67,11.5
IL,2005,22.0,0.059000000000000004,0.057,0.7090000000000001,12609903,48398,212.49294736842091,146.0,646.0,53.83,12.17
IL,2006,144.0,0.064,0.045,0.7040000000000001,12643955,48671,222.5876842105263,148.0,651.0,54.25,12.33
IL,2007,23.0,0.063,0.05,0.6940000000000001,12695866,52506,228.3325531914894,147.0,646.0,53.83,12.25
IL,2008,50.0,0.06,0.063,0.6890000000000001,12747038,53254,226.25810526315797,128.0,611.0,50.92,10.67
IL,2009,61.0,0.05,0.102,0.691,12796778,52870,216.84567010309274,128.0,617.0,51.42,10.67
IL,2010,53.0,0.047,0.10400000000000001,0.688,12840503,50728,211.50587628865978,139.0,636.0,53.0,11.58
IL,2011,78.0,0.045,0.09699999999999999,0.684,12867454,50637,207.56278350515464,144.0,638.0,53.17,12.0
IL,2012,37.0,0.037000000000000005,0.09,0.6679999999999999,12882510,51738,205.0628865979381,156.0,670.0,55.83,13.0
IL,2013,71.0,0.04,0.09,0.672,12895129,53937,206.1459793814433,,,,
IL,2014,56.0,0.042,0.071,0.664,12884493,54916,209.35687500000006,,,,
IL,2015,83.0,0.039,0.06,0.654,12858913,60413,211.1424742268041,,,,
IL,2016,47.0,0.037000000000000005,0.057999999999999996,0.653,12820527,61386,215.58608247422686,,,,
IL,2017,59.0,0.04,0.049,0.654,12778828,65969,220.2494736842105,,,,
IL,2018,60.0,0.045,0.043,0.66,12723071,70145,223.666,,,,
IL,2019,51.0,0.043,0.04,0.6509999999999999,12671821,74399,227.90593749999996,,,,
FL,2015,,0.039,0.055,0.648,20209042,52687,289.69109374999994,,,,
FL,2014,,0.042,0.063,0.649,19845911,49876,268.043125,,,,
FL,2003,,0.057999999999999996,0.052000000000000005,0.695,17004085,54304,252.21596774193537,260.0,856.0,71.33,21.67
FL,1997,,0.076,0.048,0.669,14683350,51711,191.12547169811324,259.0,860.0,71.67,21.58
FL,1995,,0.079,0.055,0.6659999999999999,14185403,49707,188.00937499999995,257.0,853.0,71.08,21.42
FL,1994,,0.084,0.064,0.657,13961798,50133,188.36866666666663,265.0,861.0,71.75,22.08
FL,1993,,0.073,0.071,0.655,13713593,49880,184.68630434782605,258.0,847.0,70.58,21.5
FL,1992,,0.084,0.08199999999999999,0.66,13504775,48986,185.0495454545455,255.0,845.0,70.42,21.25
FL,1991,,0.09300000000000001,0.075,0.6609999999999999,13289497,50026,189.39224999999996,264.0,865.0,72.08,22.0
CA,1995,,0.079,0.079,0.5539999999999999,31493525,61846,329.9859999999999,175.0,704.0,58.67,14.58
CA,1994,,0.084,0.086,0.555,31317179,60464,332.7474545454546,168.0,693.0,57.75,14.0
CA,1993,,0.073,0.095,0.56,31147208,59529,338.24672727272724,168.0,690.0,57.5,14.0
CA,1992,,0.084,0.09300000000000001,0.5529999999999999,30875920,62517,350.10685185185184,176.0,709.0,59.08,14.67
CA,1991,,0.09300000000000001,0.077,0.545,30414114,61797,350.5274074074073,168.0,692.0,57.67,14.0
